measure,Chiropractic association,Commercial clinic
Ankles/feet,52,33
Arm,64,21
Arthritis,45,31
Auto injuries,28,57
Back pain,100,87
Carpal tunnel,18,62
Chronic fatigue,27,28
Disc problems,17,54
Dizziness,18,13
Headaches/migraines,92,83
Joints,53,19
Knees,28,48
Leg pain,63,44
Neck pain,91,82
Pain relief,54,37
Poor posture,36,22
Pregnancy,36,49
Repetitive motion injuries,63,18
Restricted movement,45,11
Sciatica,19,64
Shoulders,62,49
Slip and fall,62,8
Sports injuries,81,52
Sprains/strains,44,19
Tingling/numbness,18,28
TMJ,18,23
Wellness,35,40
Whiplash,63,50
Wrists,19,18
Work injuries,72,37
